가격	price
걸다	hang - used with to make a call (전화를 __다)
걸리다	to be hung, caught
고속버스	express bus
공항	airprort
교통편	transportation
구경	sightseeing
녹차	green tea
놀다	to play, hangout
닭갈비	spicy grill chicken
등산	hike
딸	daughter
박물관	museum
부엌	kitchen (not 주방)
빨래	laundry
수영	swim
숙소	lodging, hotel
식물원	botanical gardens
싫어하다	to dislike
아들	son
연휴	holidays
온천	hot springs
자전거	bicycle
즐겁다	enjoyable
청소	clean
편하다	comfortable, relaxed
항공	flight
해듣이	sunrise
호텔	hotel
화장실	bathroom
회	raw fish
휴가	vacation
특별하다	to be special
계획	plan
특별한 계획	special plan
