부모님	Parents
남편	husband
아내	wife
부부	couple
여보	honey, darling
사장님	boss
할아버지	grandpa, old man
강아지	dog
방	room
거실	living room
미용실	beauty parlor
슈퍼마켓	super market
약국	pharmacy
식당	restaurant
세탁소	dry cleaner
근처	nearby, vicinity
밖	outside
뒤	the back, behind
가운데	the middle, the center
앞	the front
위	above, on, up
아래	the bottom, under
안	the inside
옆	the side, beside
오른쪽	right side
왼쪽	left side
사이	between
계시다	stay (formal)
그리고	and
그리다	draw
그림	picture
수건	towel, washcloth
양복	suit
열쇠	key
자동차	car
주머니	pocket
컵	cup
손	hand
탁자	table (not 시탁)
찾다	look for, get, find
열쇠를 찾다	look for keys
