가족	family
거기	there
그저께	the day before yesterday
건강하다	good health
결혼	marriage
내년	next year
넥타이	necktie 
노래	song
눈	eyes
다음 달	next month
달력	calendar
동화책	fairytale book
먹다	to eat
미역국	seaweed soup
반	class, group, half
브루다	to say out-loud, call out
삼계탕	samgyetang - chicken soup
생일	birthday
선물	gift
수요일	Wednesday
아들	son
아마	might, maybe, probably
올해	this year
이번 달	this month
이번 주	this week
일과	daily work, routine
일요일	Sunday
자전거	bicycle
작년	last year
잔치	feast, party, banquet
좋다	good
주다	to give
주말	weekend
지난 달	last month
지난 주	last week
청소하다	to clean
축구공	soccer ball
축하	celebration
축하하다	to congratulate 
케이크	cake
토요일	Saturday
파란색	blue
파티	party
항상	always, all the time
화요일	Tuesday
몇 월 며칠이에요?	what's the date?
무슨 요일이에요?	What day?
생일축하하다	happy birthday
선물을 주다	to give a gift
언제예요	when?
파티를 하다	to have a party
