무엇	what
누구	who
어디	what place, where (question word)
있다	to have/exist
없다	to not exist
여기	here
교실	a classroom
학교	School
우체국	Post office
시장	market
빵집	bakery
은행	bank
주차장	parking lot
집	home, house
방	room
주방	kitchen (not 부엌)
부엌	kitchen (not 주방)
화장실	bathroom
욕실	furnished bathroom
다용도실	utility room
마당	yard
정원	garden, park
창고	warehouse, storage
현관	(front) door, entrance, porch
베란다	veranda
가방	a bag
에어컨	air conditioner
거울	mirror
과일	fruit
세탁기	washing machine
밥솥	rice cooker
가스레인지	gas range
음식	food
냉장고	refrigerator
식탁	table (not 탁자)
소파	sofa
텔레비전	television
화장품	cosmetics
옷	clothes
신발	shoes
욕조	bathtub
화장대	dressing table/vanity
변기	toilet
세면대	sink
전화하다	to call
침대	bed
컴퓨터	computer
문	door
창문	window
책상	desk
책	Book
공책	notebook
볼펜	pen
연필	pencil
지우개	eraser
필통	pencil case
시계	clock, watch
의자	chair
칠판	blackboard
꽃	a flower
만나다	to meet
사랑하다	to love
앉다	to sit
운동하다	exercise
일하다	to work
깨꼿하다	to be clean, neat
먹다	to eat
보다	to see, to watch, to try
저기	over there
친절하다	to be kind, friendly
싸다	to be cheap
크다	to be big
많다	To be many, much
적다	a few
작다	to be small (in size)
맛있다	to be delicious
넓다	to be spacious, wide
