이름	name
인사	greeting
저	I (humble)
친구	friend
선생님	Teacher
학생	student
사람	person, people
가족	family
아내	wife
남편	husband
딸	daughter
동료	colleague
여자	woman
곳	place (not 장소)
교실	a classroom
사무실	office
시계	clock, watch
국적	nationality
나라	country
몽골	Mongolia
베트남	Vietnam
소개	introduce
어디	what place, where (question word)
오다	to come
책상	desk
의자	chair
제	my (humble)
지금	now
살다	to live
일본	Japan
중국	China
캄보디아	Cambodia
캐나다	Canada
필리핀	Phillipines
한국	Korea
회사	company
감사합니다	thank you
괜찮아요	it's ok
미안합니다	I'm sorry
어디에 살아요?	Where do you live?
어디에서 왔어요?	Where are you from?
이름이 뭐예요?	What's your name?
