걷다	walk
공원	a park
기차	train
놀이공원	amusement park
멀다	to be far, distant
비행기	airplane
오전	AM, morning
오후	PM, afternoon
요리하다	to cook
재료	ingredient, material
출근하다	go to work
택시	taxi
퇴근하다	leave work
회식하다	company dinner
회의하다	to doubt, be skeptical
얼마나 걸려요?	How long does it take?
이를 닦다	brush teeth
걸리다	takes
