할아버지	grandpa on dad's side
할머니	grandma on dad's side
외할아버지	grandpa on mom's side
외할머니	grandma on mom's side
큰아버지	uncle (father's older brother)
큰어머니	aunt (father's older sister)
고모	aunt on father's side
아버지	dad
어머니	mom
이모	aunt on mom's side
형	older brother (for male)
누나	older sister (for male)
남동생	younger brother
여동생	younger sister
언니	older sister (for female)
오빠	older brother (for female)
