가격	price
개	thing counter
경험	experience
권	book counter
그릇	bowl counter, bowl
깎다	discount
농구공	basketball ball
느리다	slow, sluggish
대	appliances counter
등산	hike
등산화	hiking shoes
마리	animal counter
명	people counter
모르다	to not know, be unaware of
모자	hat, cap
바지	pants
벌	clothing counter
부츠	boots
분	formal people counter
비싸다	to be expensive
빠르다	to be fast (base form)
상자	box counter, box
샌들	sandals
생선	fresh fish
송이	flower counter
쇼핑	shopping
숙제	homework
슬리퍼	slippers
시끄럽다	noisy
신발	shoes
싸다	to be cheap
아저씨	middle aged man
아주머니	middle aged woman
알다	to know
양말	socks
우산	umbrella
우표	stamp
운동화	running shoes
인분	meat counter
잔	cup, glass, cup counter
장	paper counter
전자상가	electronic store
전화	phone
조용하다	be quiet
신문	Newspaper
주스	juice
취미	hobby
치마	skirt
카드	card
켤레	pair counter
코트	coat
티셔츠	t-shirt
통	watermelon counter, container, can
현금	cash
깎아 주세요	give me a discount
이/가 어때요?	How's this?
이/가 얼마예요?	How much is this?
