득점을 하다	to score; gain points
승부가 나다	to achieve a victory
승부욕이 강하다	to have a strong desire for winning
연장전을 하다	to do overtime
결승전에 진출하다	to play in the finals
막상막하이다	to be neck-to-neck; well-matched
정정당당하다	to be fair
자신만만하다	to be full of confidence
아슬아슬하다	to be risky; close
흥미진진하다	to be fascinating; exciting
규칙을 지키다	to follow the rules
반칙을 하다	to make a foul; play against the rules
경고를 받다	to receive a warning
퇴장을 당하다	to be sent out
얇다	to be thin; flimsy
소용없다	to be useless
실력 차이가 나다	to have distinctive skills
상대편	opponent; rival
아쉽다	to be sad; a shame
전반전	first half
후반전	second half
골을 넣다	to score a goal
아깝다	to be regretful; unfortunate
역전패하다	to suffer a reversal
체력이 떨어지다	to lose strength; stamina
비기다	to tie; draw
부상을 당하다	to suffer an injury
핸드볼	handball
합	sum; total
세트	set
지치다	to get tired; be exhausted
심장	heart
별명	nickname
단짝 친구	best friend
천사	angel
평사를 받다	to receive evaluation
서울월드컵경기장	Seoul World Cup Stadium
축구장	soccer field
관람하다	to watch; view
내	throughout
응원하다	to cheer
함성	cry; shout
가득하다	to be full; crammed
은메달	silver medal
시상대	podium; victory stand
억울하다	to be unfair; falsely accuse
순간	moment; instant
미끄러지다	to slip
일등을 놓치다	to miss first place
훌륭하다	to be excellent; magnificent
최선을 다하다	to do one's best
결과를 받아들이다	to accept the outcome
중시하다	to put stress on
태도	attitude
바람직하다	to be desirable
스포츠 정신	sportsmanship
과정	process
분명하다	to be clear; distinct
충분히	enough
연결되다	to connect
청취자	audience; listeners
제격	build; physique
길고 짧은 건 대 봐야 안다	to real value of something can only be judge from practical experience or results and not from appearance or theory
유리하다	to have an advantage; to be favorable
기술을 쓰다	to use one's skill
버티다	to endure; hold out
균형을 잃다	to lose one's balance
확신하다	to be convinced; believe strongly
당연히	naturally; of course
상대방	the opposing party; team
예상	expectation; anticipation
팔씨름	arm wrestling
의미하다	to signify
합치다	to combine; join
즉	in other words
뜻	meaning; sense
인원	the number of
각각	each; respectively
발로 차다	to kick
골문	goal
넘겨주다	to handover; turnover
무승부	to tie; draw
진행	progress
종목	event
구성	composition
상품	product; goods
모래판	sandpit
깔리다	to be buried; pinned
샅바	thigh band
손잡이	handle; grip
끈	string; cord
쓰러뜨리다	to overthrow; subvert
닿다	to touch; drag in
황소	bull; ox
규모	scale; size
