,word,frequency
208,대단하다,1780
209,스키장,5257
210,뿐,117
211,한국적,4815
212,고집,3851
213,포근하다,4885
214,선진,3106
215,불안하다,1721
216,야하다,4935
217,버릇,1896
218,놀이터,4690
219,상관없이,3876
220,소주,2221
221,원고,2495
222,일반적,1035
223,별명,3321
224,샌드위치,2406
225,무늬,2613
226,공주,4824
227,미소,1089
228,즉시,2088
229,힘겹다,3931
230,최상,4808
231,반응,1021
232,숨다,1584
233,극작가,4080
234,유리하다,2623
235,다수,2317
236,신다,2177
237,동서남북,5335
238,돌보다,2364
239,단지,1636
240,문제되다,4523
241,찾아다니다,4296
242,미스,3369
243,물고기,2827
244,오염되다,2726
245,기초하다,2567
246,일,4662
247,건축,2093
248,보수적,4918
249,위기,1116
250,마사지,4834
251,설거지,4387
252,현대적,5267
253,무척,911
254,빠져나오다,2675
255,불평,4477
256,프로,2234
257,수저,4852
258,엎드리다,2908
259,꽃,348
260,버섯,4171
261,분명히,1151
262,순수,2947
263,토요일,1853
264,동화책,4761
265,학용품,2660
266,장관,420
267,생방송,3690
268,둘,435
269,못지않다,1750
270,음성,2683
271,언덕,3243
272,녀석,1634
273,구속되다,2666
274,그만두다,1474
275,돌,1077
276,불러일으키다,2372
277,해롭다,4215
278,주름,4206
279,이익,1108
280,추측,4739
281,소아과,5413
282,거울,1659
283,봉사하다,4647
284,시나리오,3743
285,인터넷,1955
286,않다,1468
287,꾸준히,2315
288,외아들,5328
289,하품,4508
290,주의,2653
291,번,86
292,등,2712
293,뒷문,4638
294,컴퓨터,203
295,순서,1533
296,희생,3653
297,여관,3888
298,엇갈리다,4038
299,처음,124
300,맡기다,1199
301,인하,3387
302,어떤,40
303,계획하다,3603
304,운동장,2023
305,타락,3598
306,수석,1514
307,차창,4133
308,삼계탕,5306
309,여섯,5376
310,교실,1049
311,고민하다,2481
312,입력하다,4396
313,시외,5009
314,달빛,4235
315,비둘기,5255
316,순진하다,4431
317,박스,4840
318,더불다,1007
319,지식인,1887
320,온돌,5378
321,넓어지다,3559
322,온도,1976
323,드리다,1149
324,당장,1032
325,덮이다,3783
326,통제,1743
327,잠들다,2085
328,버튼,4917
329,세계관,1783
330,훨씬,487
331,체력,2555
332,숙이다,1974
333,쌍,4108
334,떡볶이,5322
335,만지다,2013
336,버터,2752
337,고무신,5155
338,스치다,2077
339,뜻대로,4163
340,오늘날,554
341,인물,543
342,용도,2993
343,연기하다,4858
344,찾아가다,1119
345,일행,1885
346,땅바닥,4763
347,시험,484
348,활용하다,1385
349,마구,2054
350,금방,1269
351,반발,2670
352,금메달,4754
353,가르다,3217
354,수영,2323
355,식기,4783
356,출구,4300
357,고속버스,5282
358,꼼꼼하다,3939
359,양상추,4856
360,노동,413
361,극히,2393
362,재작년,5124
363,관하다,221
364,잠자다,3445
365,자가용,3824
366,열중하다,3892
367,홍보,2235
368,관심사,4073
369,고궁,5281
370,덜다,2640
371,없이,113
372,즐거워하다,5039
373,한때,1359
374,대중문화,1946
375,앞바다,4854
376,지다,3759
377,물음,2321
378,교수,274
379,대출,2362
380,긴장하다,3012
