소중하다	to be precious
원룸	one room, studio
디카	digital camera
밥솥	rice cooker
밥을 하다	to cook (rice)
건강	health
생각하다	to think
가지고 있다	to have
꼭	surely, in any case
유명하다	to be famous
닭고기	chicken
채소	vegetable
좀	a little
낫토	fermenated Japanese beans
콩	bean
건강	health
후추	pepper
불	fire
인상적	impressive
곳	place
이유	reason
