무역	trade
부탁하다	to ask for a favor
도움	help
필요하다	to need
무역 회사	trading company
신문사	newspaper company
여행사	travel agency
증권 회사	stocks company
항공사	airline
잡지사	magazine company
졸업하다	to graduate
전공	major
경영학	business study
국어국문학	Korean Language and Literature study
역사학	History study
신문방송학	Journalism
경제학	academic economics
의학	medicine (as a major or course of study)
천문우주학	Astronomy cosmology
국적	nationality
오래간만	to have been a long time since...
지내다	to get along
사귀다	make friends
힘들다	to have a hard time
익숙하다	to be accustomed
할아버지	grandfather
할머니	grandmother
큰아버지	an uncle, the elder brother of one´s father
큰어머니	an aunt, the wife of the elder brother of one´s father
아버지	father
어머니	mother
작은아버지	A younger brother of one´s father
작은어머니	an aunt, the wife of one´s father´s younger brother
고모	aunt, father's sister
고모부	the husband of one's father's sister
사촌 형	cousin (older brother)
사촌 동생	cousin (younger sibling)
사촌 오빠	older male cousin ( for female)
꿈	dream
자기소개	a letter of self-introduction
태어나다	to be born
모으다	to save
피다	to bloom
등	etc. et cetera
세계	world
문화	culture
기회	chance
글	story
문학	literature
앞으로	in the future
디자인	design
성격	personality
멋있다	to be splendid
풍경	landscape
