산후	after childbirth
도우미	helper
산모	woman in childbed
예전	long ago
전문적	professional
육아	childcare
간병인	caregivers
장을 보다	to go food shopping
쇼퍼	Shopper
심부름	errand
전등	electric light
애완동물	pet
배이킹 소다	baking soda
은제품	silverware
머리를 감다	to wash hair
헹구다	to rinse out
머릿결	hair (feeling of texture)
발	foot
냄새	smell
