결코	Never (determindly)
하나도	Nothing at all
좀처럼	Rarely
호응	Response
하마터면	Almost (if I did worse ...)
만일	If
전혀	Not at all
절대로	Never ever
도대체	What on earth
혹시	By any chance
만약	If 2
동창회	Reunion
초대장	Invitation
동문회	Alumni reunion
정기	Routine
일시	Temporary
회비	Membership fee
당일 행사	Day's event
개회식	Opening time
은사님	Esteemed teacher
담화	Discourse
폐회식	Closing ceremmony
열다	To begin gathering
빛내다	To light up
마련하다	To prepare
참석하다	To attend
되살리다	To revive
배출하다	To discharge, produce
자리하다	To gather in one place
되새가다	To remember again
세월	Time
해치다	To injure
굶다	To starve
무조건	Unconditional
가꾸다	To decorate, raise
확실히	Certainly 2
무사히	Safely
머무르다	To stay (somewhere)
머물다	To stay (somewhere)
연장하다	To extend
거부하다	To deny
팝송	Pop Song
효가를 보다	To see an effect
겁이 나다	To be scared 2
세월이 흐르다	Time to go by
눈에 띄다	To stand out
건강을 해치다	To hurt one's health
시험에 붙다	To pass an exam
추억을 되살리다	To recal memories
투명인간	Invisible person
비록	Although
낳다	To be born
인재	Talented person
세 끼니	3 bowls of rice
끼니를 거르다	To skip a meal
의심하다	To doubt
