지방	Fat
수료하다	To finish
중도하차하다	To drop out
평균	Average
상하관계	Senior, Junior Relationship
엄격하다	To be strict
작성	List
손님을 맞다	To welcome
겁을 내다	To be scared
고아	Orphan
긍정적이다	To be positive
까짓	Insignificant (marker)
깔다	To lie down
다양하다	To be diverse
다이아 반지	Diamond ring
드라이브하다	To take a drive
배터리	Battery
사고방식	Thought process
여간하다	To be ordinary
영향을 마치다	To influence
웬만하다	To be normal
장판	Lino
재수하다	To repeat studies
포기하다	To give up
반밖에 없네	The glass is half empty
반이나 있네	The glass is half full
벽지	Wallpaper
바르다	To cover
운	Luck
실패하다	To fail
환경	Environment
조그만	Small
삶	Life
학자	Scholar
띄어쓰기	Word spacing
마친가지이다	To be finished
일대기적	Life story
구성	Composition
집중적	Intensively
인정받다	To receive recognition
액자	Frame
질문을 던지다	To ask a question
사정	Circumstance
발견하다	To discover
성공을 거두다	To achieve success
취재하다	To investigate, report on a situation
살아가다	To keep living
미소를 짓다	To smile
전기문	Biography
인물	Character
사건	Event
배경	Background
비평	Opinion, criticism
인식	Awareness
영감	Inspiration
부문	Sector
최정상	Best
승리하다	To win
주인공	Hero
국내	Domestic (country)
향하다	To lean towards
만족하다	To be satisfied
승패	Victory and defeat
좌우되다	To be influenced
자체	Itself
사고방식	Way of thinking
부상	Injury
막다	To block
끊임 없다	To be ceaseless
발전시키다	To develop
모국	Native
노력하다	To be skilled
동료	Colleague
본받다	To emulate
소신	Conciousness
처하다	To encounter
이겨내다	To overcome
진정하다	To relax
극복하다	To overcome 2
주위	Surroundings
