자식	Descendant 2
출장	Business trip
갈비구이	Roasted ribs
경향이 있다	To have a tendency
고속도로	Express highway
모처럼	For a change
생갈비	Fresh ribs
습관	Habit
앙념 갈비	Seasoned ribs
외식	To eat out
인분	One serving
주문받다	To receive an order (of food)
포장하다	To take away
푸짐하다	To be generous, plentiful
한우	Korean beef
