아점	Brunch
자화 자찬	Self- enlightenment
빼 놓다	To take out
깡마르다	To be scrawney
깻잎	Sesame leaf
애호박	Young squash
콩나물	Bean sprouts
파뿌리	Onion bulbs
뿌리	Root
호박	Pumpkin
배추	Cabbage
사과 같다	As pretty as an apple
오이 같다	To have a long face
누리다	To enjoy
왕자	Prince
꼬르륵거리다	To growl
의성어	Onomatopoeia
빈혈액	Anemia
혈액	Blood
혜택	Benefits
만족스럽다	To be satisfactory
즐기다	To enjoy
하긴	Well
머리가 복잡하다	To have a crowded head, lots of worries
왠다	To be something
하루 사과 한일이면 의사가 필요없다	An apple a day keeps the doctor away
심장별	Heart disease
생감	Ginger
우롱차	Oolong tea
감초	Licorice
철분	Iron
올리브유	Olive oil
치우기	Remove
뜨개질하다	To knit
야경	Night view
깻잎 머리	To wear a hair clip
공나물 시루 같다	To be packed (like in a train)
배추머리	To have frizzy hair
검은 머리가 파뿌리 될 까지	To stay together till you go grey
입맛이 당기다	To be attracted to one's appetite
달콤하다	To be sweet
안정시키다	To stablize
밥류	Rice
면류	Noodles
육류	Meat
곡류	Grains
어패류	Fish
과일류	Fruit
채소류	Vegetables
견과류	Nuts
유제품	Dairy
인스턴트	Instant food
패스트푸드	Fast food
통조림	Canned food
탄삼음료	Fizzy drinks
즉석식품	Instant food 2
불균형적이다	To be disproportionate
골고루 먹다	To eat balanced
영양이 균형적이다	To have balanced nutrition
편식하다	Picky diet
몸에 해로운 음식	Unhealthy food
가공 식품	Processed food
슬로푸드	Slow food
집밥	Homefood
수제 햄버거	Homemade burger
위생적이다	To be hygienic
조리가	Cooking
이동하다	To move
움직이다	To move 2
가편하다	To be easy
식품 첨가물	Additive
과로	Overwork
대인 공포증	Social anxiety
삼장마비	Heart attack
속하다	To belong
만성피로	Chronic fatigue
어지럼증	Dizziness
조울증	Bipolar disorder
고소공포증	Fear of heights
직장 상사	Boss
부하 직원	Staff
노화 방지	Anti-aging
명상	Meditation
특권	Privilege
저하되다	To deteriorate
원활하다	To be smooth
