무인도	Desert Island
뛰어다니다	To run around
갑작스럽다	To be sudden
화제	Topic of conversation
면세점	Duty free store
원래	Originally
건망증	Forgetfulness
조르다	To pester
연락처	Contact info
몰려들다	To flock
특산품	Speciality
해산물	Seafood
싱싱하다	To be fresh (food)
조언	Advice
생각나다	To remember
외우다	To memorize
떠올리다	To recall or recollect
아끼다	To save, economise
단순히	Simply
활력	Vitality, energy
감정	Emotion
떠오르다	To rise, float
돌아보다	To think back
얻다	To gain
풍부하다	To be abundant
구경거리	Things to see
볼거리	Things to see 2
먹을거리	Things to eat
반찬거리	Things to make into side dishes
일거리	Things to do for work
걱정거리	Things to worry about
이야깃거리	Things to talk about
화젯거리	Things to talk about 2
입을거리	Things to wear
마실 거리	Things to drink
놀 거리	Things to play with
살 거리	Things to buy
읽을 거리	Things to read
탈 거리	Things to ride
양식	Food you need to live
충격	Impact or shock
소식	News
영상	Above freezing
영하	Below freezing
