농촌	Rural
공해가 심하다	Strong pollution
지구온난화	Global warming
출시하다	To be released
판매량	Sales rate
흡연	Smoking
악영향	Adverse effect
남매이다	To be brother and sister
반성하다	To reflect
마니아	Mania
골프	Golf
굶다	To starve
교대 근무자	Shift worker
긴장감	Tension
보약	Care
비만 환자	Obese patient
신경질	Nervousness
앵커	Anchor
없애다	To delete
예로부터	From ancient times
졸림증	Sleepiness
짜증	Petulance
채팅	Chatting
학업 능력	Academic ability
승용차	Saloon car
흡연자	Smoker
