악몽	Nightmare
경제 생활	Economic life
가마를 타다	To ride a palanquin
지치다	To be exhausted
지루하다	To be bored 3
여유롭다	To be relaxed 3
한가하다	To have free time
빌딩 숲	Building forest
회색빛	Grey light
고독하다	To be lonely 3
잦다	To be often
쫒기다	To chase
귀농	Return to one's roots
웰빙	Well-being
데우다	To warm up
인성 교육	Human education
정리하다	To straighten out
산 교육	Real life education
눈싸움	Snowball fight
나물	Seasoned vegetables
캐다	To dig
도시	City
농촌	Rural
눈코 뜰 새 없다	Busy as a bee
사람은 서울로 말은 제주도로 보내라	If you want good opportunities for your children send them to Seoul
10년이면 강산이 변하다	Even in 10 years things can become unrecognizable
대우다	To make do with
메뚜기를 잡다	Grasshopper
쥐	Rat
편리함	Convenience
시냇물	Stream
잠자리	Dragonfly
고추잠자리	Red dragon fly
돌	Stone
상상력	Imaginative energy
전원 주택	Self-designed house
경계	Boundary
밭이다	To field
대조	Contrast
허락하다	To permit
학습	Learning
유도하다	To induce
게임 중독	Game addiction
딱딱하다	To be stiff, formal
몰래	Stealthily
들키다	To be discovered
강압적	Coercive
버릇	Habit 3
서다	To stand
