청소년일	Juvenile
가출하다	To run away from home
공공장소	Public place
꼴불견	Indecency
눈살을 찌푸리다	To frown
동창회	Reunion
못지않게	As well as
뱉다	To spit
버릇이 없다	To have no manners
삐리릭삐리릭	Mobile phone sound
삼가다	To deny oneself
아무 데서나	Everywhere
애정 표현	Expression of affection
야단치다	To scold
중단되다	To be discontinued
어디선가	Somewhere
열띠다	To be heated, enthusiastic
종종	More often than not
진동	Vibration
채식주의자	Vegetarian
최첨단을 걷다	To be cutting egde
토론	Debate
하여튼	Anyway
