거절하다	To refuse
구부리다	To bend over
기특하다	To be praise worthy
꼬임	Twist
동화책	Fairy tale book
두드리다	To pound
무뚝뚝하다	To be blunt
뭉클해지다	To get tired
번개	Lightening
보살피다	To look after
시각 장애인	Blind
아까	Little while ago
안쓰럽다	To feel bad
얼른	Quickly
익숙하다	To be familiar
정신지체	Mental retardation
지팡이	Walking stick
천등	Sunlight
출출하다	To launch
하긴	Well
한참	A while
헤매다	To wander
동작	Movement
의도하다	To intend
