지탱하다	支撑―; to sustain, support
지향하다	志向-; to aim
지형	地形; topography, geographical features
진화	進化; evolution
질환	疾患; disease, illness, sickness
집단	集團; group, body
짝수	―數; even number
쭉	stretch out
차곡차곡	in a neat pile, neatly
차마	intolerably
차원	次元; level, dimension
착용하다	着用-; to fasten, put on
참신하다	斬新―; to be fresh, novel, original
창출하다	創出-; to create
채찍질하다	to whip
