진을 빼다	to drain one's energy
침이 마르다	to be intensely anxious, praise someone/something
팔소매를 걷어붙이다	to roll up its sleeves
팔짱을 끼고 보다	to see with folded arms
하늘을 찌르다	to rend the air, powerful
한눈을 팔다	to take ones eyes off
햇빛을 보다	to be know to the general public, spread widely, see the light of day
허리띠를 졸라매다	strict economy, retrenchment, tighten ones belt
혀를 내두르다	to be astonished, marvel at
활개를 치다	to dominate, take over
