균형	均衡; balance, equilibrium
그다지	not so much
근래	近來; recent days, years
근력	筋力; muscular strength, power
근로자	勤勞者; worker, laborer
근본적	根本的; fundamental, basic
근심	worry, concern
근접하다	近接―; to approach, come close (to)
금	cracking (i.e. in the walls)
금세	soon, shortly
금속	金屬; metal
금융	金融; finance
급격하다	急激―; to be rapid, drastic
급급하다	汲汲―; to be busy, to be bent on
급등	急騰; a sharp rise, jump
