대개	大槪; usually, generally
대다	1) to lean (against) (2) to make an excuse (3) to pull up (to) (4) to pay
대리	代理; deputy, substitute
대수롭다	to be significant
대안	代案; alternative
대응	對應; action, response
대전	大戰; Great War, world war
대처	對處; action (verb: to deal with, cope with)
대체로	大體―; generally, mostly
대체하다	代替-; to substitute, to replace
더불다	to join, to do together
덩치	build, frame
도구	道具; tool, instrument
도달하다	到達―; to reach, attain
도리어	instead, rather
