거추장스럽다	to be cumbersome, burdensome
걸치다	(1) to wear, put on (2) to be widespread
격차	格差; gap, difference
결론	結論; conclusion
결실	結實; fruition, result
결코	never
결합하다	結合-; to combine, unite
겸비하다	兼備-; to have both
경관	景觀; landscape, scenery
경로	經路; course, route
계층	階層; class, social stratum
고난	苦難; hardship, suffering
고령화	高齡化; graying, aging
고무	rubber, gum
고스란히	intactly, with nothing damaged
