고용	雇傭; employment, engagement
고전하다	苦戰-; to struggle, flounder
고효율	高效率; high efficiency
곡선	曲線; curve
곤충	昆蟲; insect
공감	共感; sympathy, compathy
공고	公告; public/official announcement, notice
공급	供給; supply, provision
공유	共有; sharing, joint ownership
공통점	共通點; something in common
과다하다	過多-; to be excessive, copious
과도하다	過度-; to be immoderate, excessive
과시하다	誇示-; to parade, show off
관습	慣習; custom, convention
관여하다	關與-; to participate, come in
