의뢰	依賴; request, commission
의외	意外; unexpectedly
이력	履歷; background, personal history (w/서: résumé)
이론	理論; theory
이롭다	利―; to be beneficial, advantageous
이물질	異物質; foreign substance
이변	異變; extraordinary event, unexpected change
이색적	異色的; unusual, out of the ordinary
이왕	已往; already
이윤	利潤; profit, gain
이자	利子; interest
이직	移職; staff turnover, changing of jobs
인공	人工; artificiality
인력	人力; Human Resources, human capabilities
인재	人材; talented person, man of ability
