복원	復元; restoration
복장	服裝; dress, clothes, costume
복제하다	複製-; to copy, reproduce
복지	福祉; welfare
본격적	本格的; genuine style, full-scale
본래	本來; origin, originally, primarily
본질	本質; essence, essentials
부각	浮刻; stand out, be magnified
부과하다	賦課-; to impose, levy
부리다	to make (a pig of), inflame a problem
부여	附與; authorization (verb: to give, grant)
부위	部位; part, region
부쩍	remarkably
부추기다	to encourage, incite
부풀다	1) to inflate (2) to look forward to (3) to swell up
