번식	繁殖; propagation, reproduction, breeding
법정	法廷; court of law
벽화	壁畵; mural
변동	變動; fluctuation, change (not ...천)
변수	變數; variable
변질	變質; deterioration, decomposition, go bad
변천	變遷; change, transition
변형	變形; modification, transformation
별개	別個; differentness (i.e. distinct, separate)
별도	別途; separately, extra, special
별반	別般; particularl(y)
병행하다	竝行―; to go abreast, run parallel with, do 2 things at the same time
보류	保留; suspension, pending (되다: to be postponed)
보편	普遍; universal, general
복구	復舊; restoration
