가공	加工; manufacture, process(ing)
가라앉다	1) to sink 2) to settle down
가려내다	to sort out, pick out
가무잡잡하다	to be darkish
가문	家門; one's family
가사	家事; housework, housekeeping
가상	假想; virtuality, imagination
가속화	加速化; acceleration
가파르다	to be steep, to be sheer
가하다	加-; 1) to apply 2) to accelerate
간격	間隔; interval, space
간섭하다	干涉-; to interfere (in), to meddle (in)
간절하다	懇切-; to be desperate
간접적	間接的; indirection
간편하다	簡便-; to be simple, convenient
