간혹	間或; sometimes, occasionally
갈등	葛藤; conflict
갈피	one's mind (decision)
감수하다	甘受-; to bear, put up with
감시	監視; surveillance, observation
감안하다	勘案-; to consider, allow for
강단	講壇; platform, podium
강인하다	强靭-; to be tough, strong
개설하다	開設-; to open, set up
개체	個體; entity, individual (being)
개편	改編: reorganization, reformation
거듭하다	to repeat
거만하다	倨慢-; to be arrogant, snobbish
거세다	to be fierce, wild
거액	巨額; large amount of money
