재구성	再構成; reconstitution, restructure
재정	財政; finance(s), financial affairs
재해	災害; disaster, calamity
재현하다	再現―; to reproduce, reenact
재활	再活; rehabilitation, remedial exercise
저가	低價; low price, cheap price
저마다	each, respectively
저소득층	低所得層; low income bracket, low income group
저작권	著作權; copyright
저절로	by itself, naturally
저조하다	低調―; to be poor, low
저항	抵抗; resistance, resistance movement
적시다	to wet
적정	適正; optimum level
적합하다	適合―; to be suitable, appropriate
