안도	安堵; relief
안목	眼目; discerning eye, discernment
애처롭다	to be pitiful, pathetic
야기하다	惹起―; to cause, bring about
약재	藥材; medicine, Oriental herbs
양상	樣相; aspect, condition
양성	養成; fostering, cultivation
양식	糧食; food, nourishment
어김없다	to not fail to do (adv.: without fail)
어리석다	to be foolish, stupid
어우러지다	to mix, mingle with
억제	抑制; suppression, control
엄격하다	嚴格―; to be strict, severe
엄두	intention
엉키다	1) to tangle (2) to coagulate
