실마리	clue, lead
실적	實績; result, performance
실정	實情; (actual/real) state
실질적	實質的; actuality, reality
실체	實體; true nature, truth, substance
실현	實現; realization
심정	心情; feelings, heart
심지어	even, what was worse
심폐	心肺; heart and lung
쓰임새	use (i.e. there are a lot of different uses...)
씁쓸하다	to be bitter, bitterish
아슬아슬	by a narrow margin
아울러	besides
악물다	to grit one's teeth
악용	惡用; abuse, misuse
