여간	如干; commonly, normally
여론	輿論; public opinion
여지	餘地; leave no room for
역량	力量; capability, ability
연관성	聯關性; correlation, interrelationship
연도	年度; year
연료	燃料; fuel
연상하다	聯想-; to remind, be reminiscent of
열매	fruit
염증	炎症/厭症; (1) infection, inflammation (2) to be tired of
영입	迎入; recruit, scout
예년	例年; average year, ordinary year
예컨대	例―; for instance, such as
오로지	only, exclusively
오지	奧地; the wild(s), remote or rural area
