항로	航路; sea route, seaway
항목	項目; article, clause, item
해당하다	該當-; to be relevant, applicable
해법	解法; solution
행정	行政; administration, executive
향후	向後; from now on, henceforth
허가	許可; permission, approval
허구	虛構; fiction
허덕이다	to struggle
허전하다	(1) to be lonesome (2) to be empty
헐겁다	to be loose, baggy
혁신적	革新的; innovative
현미경	顯微鏡; microscope
현행	現行; current, same as at present
협력하다	協力-; to cooperate, work together
