유교	儒敎; confucianism
유기	有機; organic
유독	惟獨; especially, only
유리하다	有利―; to be advantageous, favorable
유발하다	誘發―; to arouse, trigger, cause
유연하다	柔軟―; to be supple, flexible
유입	流入; inflow, influx
유전자	遺傳子; gene
유죄	有罪; guilt, judgment of guilty
유치	誘致; invitation, attraction
유해하다	有害-; to be harmful, injurious (to)
유형	類型; type, category
유효	有效; validity
육성하다	育成-; to promote, foster, nurture
음향	音響; sound, sound effects
