빈번하다	頻繁―; to be frequent
빈틈	1) gap, space (2) void
빨리다	to be sucked into
뾰족하다	to be sharp, pointed
뿜다	to discharge, emit
사고	思考; thinking, thought
사로잡다	1) to capture, captivate (passive: be obsessed)
사상	思想; thought, idea
사전	事前; advance, beforehand
사전적	辭典的; lexically
사태	事態; situation, state of affairs
산림	山林; forest
살금살금	stealthily, quietly
삼다	to make, create, become
상공	上空; sky
