속성	屬性; properties, attribute
속속	續續; one after another, one after the other
손상	損傷; 1) impairment (2) damage
손실	損失; loss (not ...해)
손해	損害; damage, loss (not ...실)
수긍하다	首肯; to understand, accept, consent, agree with/to
수립	樹立; set up
수수료	手數料; commission, charge
수온	水溫; water temperature
수요	需要 ; demand
수월하다	to be easy
수위	水位; water level
수증기	水蒸氣; vapor, steam
수직	垂直; verticality
수집	收集; collection, collect
