관광하다	to go sightseeing (관...)
드라이브하다	to drive
등산하다	to hike
산책하다	to take a walk, stroll
게임을 하다	to play a game
사진을 찍다	to take a picture, photo
소풍을 가다	to go on a picnic
술 한잔하다	to have a drink (alcohol)
스키를 타다	to ski
영화를 보다	to watch a movie
저녁을 먹다	to eat dinner
동생	a younger sibling
시험	a test, an exam
도와주다	to help, aid, assist
준비하다	to prepare
아르바이트하다	to work a part-time job
