꽃	a flower
나무	a tree
봄	spring
선물	a present, a gift
우리	we
팀	a team
이기다	to win
대답하다	to answer, reply
받다	to receive, to accept
낣다	wide
그 다음에	and then (after that)
다 같이	all together
둘이서만	only the two of (us)
맛있게	deliciously
