경기	a competitive match, competition
아저씨	a term used to address an older man
축구	soccer
팀	a team
고치다	to repair, to fix
돌아오다	to return, come back
이기다	to win
일찍	early
고장이 나다	to break (malfunction)
기분이 좋다	to feel good, to be in a good mood
죄송합니다	I'm sorry
