가깝다	to be close
멀다	to be far, distant
길다	to be long
짧다	to be short (in length)
높다	to be high, tall
낮다	low
덥다	to be hot (used for weather)
춥다	to be cold
많다	To be many, much
적다	to be few
맛있다	to be tasty, to be delicious
맛없다	to be tasteless, to not be delicious
