농구하다	to play basketball
수영하다	to swim
야구하다	to play baseball
축구하다	to play soccer
태권도를 하다	to do Taekwondo
골프를 치다	to play golf
탁구를 치다	to play ping-pong
테니스를 치다	to play tennis
스케이트를 타다	to skate
스키를 타다	to ski
가요	pop song
외국	a foreign country
노래하다	to sing
안내하다	to guide
배우러 다니다	to attend (in order to learn)
일이 많다	to have a lot of work
