공연	performance entertaining an audience
사진 전시회	photo exhibition
연극	play
표	ticket
거리를 구경하다	to look around a street
그냥텔레비전 보고 있어	I'm just watching TV
바람이 불어요	It's windy
밖이 더워요	It's hot outside
밖이 추워요	It's cold outside
비가 오면 어때	I don't care even if it rains
자리가 없어요	There are no seats available
계산하다	to pay
세일하다	to be on sale
세차하다	to wash a car
지나가다	to pass by
팔다	to sell
느리다	to be slow
더럽다	to be dirty
비슷하다	to be similar
속상하다	to be upset
필요없다	to be unnecessary
가지고 나어다	to bring along
가지고 다니다	to carry around
성적이 나쁘다	to have poor grades at school
시험에 나오다	to be asked on the test
시험을 보다	to take an exam
10만 원짜리	thing worth 100,000 won
오랜만에	after a long time
운이 없다	to be unlucky
줄에 서다	to stand in line
버스가 지나가요	A bus passes by
데려오다	to go get a person
비밀	secret
앨범	album
음료수	beverage
케이크	cake
기억에 남다	to be memorable
그게 좋을 것 같아	That sounds good
좋은 생각이야!	That's a good idea!
