추측하기	guessing
운전하다	to drive
뜨겁다	to be hot
락 음악	rock music
놀이기구를 타다	to ride attractions
아이들	children
늦잠을 자다	to oversleep
이유	reason
추측하다	to guess
퇴근	getting off work
한복	Hanbok
보이다	to look
다르게	differently
이제	now
잘 싸우다	fight frequently
글	passage
끊어 읽기	reading with small pauses
요약하다	to summarize
순서	order
시끄럽다	to be noisy
함	box with wedding present from bridegroom
냄새	smell
농담	joke
