옮기다	to move something
퇴근하다	to get off work
경험	experience
면접	interview
면접관	interviewer
부서	department
이미지	image
출근 시간	the time that you go to work by
경영학을 전공하다	to major in business management
뭐든지	whatever
어디든지	wherever
언제든지	whenever
잘 모르겠습니다	I am not sure
사랑하다	to love
사 입다	to buy and wear
염색하다	to dye
이해하다	to understand
가위	scissors
고등학교 3학년	3rd year of high school
만두	dumpling
옛날 분	old-fashioned person
추억	pleasant memory
머리를 자르다	to have one's hair cut
우산을 들다	to hold an umbrella
잊을 수 없다	to be unforgettable
젊은 사람들	young people
찢어진 청바지	torn blue jeans
단점	weak points
대학생	college student
외국어	foreign language
역사	history
승무원	flight attendant
자기소개	self introduction
장점	strong points
성격이 밝다	to have a bright personality
면접을 끝내겠습니다	the interview is over
몇 개 국어를 할 줄 아십니까?	how many languages do you speak?
