서 있다	to be standing
앉아 있다	to be sitting
과자	cookies, snacks
부츠	boots
스웨터	sweater
운동화	athletic shoes
자판기	vending machine
조끼	vest
웃다	to laugh
닭갈비	spicy chicken dish
시내	downtown
인형극	puppet drama
팀	team
또	again
훨씬	much more
그 중에서	among these
가져가다	to take something with you
가져오다	to bring something with you
연락하다	to get in touch with
서류	documents
셔츠	shirt
체크무늬	checkered
가방이 바뀌었어요	The bags were switched
실례지만	Excuse me, but
어	oh
어떻게 하지요?	What should I do?
음	Umm
제 가방이 한스 씨 가방하고 똑같이 생겼어요	My bag and Hans bag are the same look
