제안하기	making suggestions
권유하기	recommending
간접화법	reported speech
반말	casual speech
운이 없어	bad luck
비밀로 하다	to keep secret
만화책	comic book
종합운동장	sports complex
드라마	drama
코미디	comedy
계획을 세우다	to make a plan
자연 경치	landscape
어떤 것	something
글쎄	well
냉장고	refrigerator
세탁기	washing machine
에어컨	air conditioner
그릇	bowl
가구	furniture
집안일	house work
가지고 오다	to bring something
데려오다	to bring someone
놓다	to put
발표하다	to make a presentation
줄을 긋다	to draw a line
휴일	day off
끊어 말하기	speaking with small pauses
마음이 넓다	to be generous
전자 사전	electronic dictionary
