여행지	one's travel place
옛날 물건	antiques
옛날 음악을 듣다	to listen to old music
한복을 입다	to wear Korean traditional costume
라틴 댄스	Latin dance
순두부찌개	pot stew with bean curd
삼계탕	hot chicken soup with ginseng
시설	facilities
심심하다	to be bored
플라멩코	flamenco
페루	Peru
맥주	beer
바닷가	beach
마추픽추	Machu Picchu
경치가 아름답다	have a lovely view
그룹을 만들다	to form a group
순서	order
동시에	at the same time
아직도	still
참 재미있다	to be very interesting
마을	village
후	after
팔다리가 아프다	to have a pain in the arms and legs
그래도	even though
다음날	next day
으로 떠나다	to leave for a place
을/를 떠나다	to leave a place
서울 밖으로 나가다	to go out of Seoul
기행문	travel journal
지금쯤	around now
전라도	Jeolla province
서해	west coast
해외 여행	overseas travel
인삼차	ginseng tea
동해	East coast
오토바이	motorcycle
도둑 맞다	to be robbed
다치다	to be hurt
여행 중에	while on a trip
수도	capital city
동료	colleague
특히	especially
