정보	information
퀴즈 게임	quiz game
섬	island
산	mountain
월드컵	world cup
소식	news
회사 동료	colleague
세계	world
달	moon
사인하다	to sign one's name
달을 맞히다	to guess the answer correctly
까치 소리를 듣다	to listen to magpie's singing
새로	newly
오래 살다	to live long
한 해	one year
미신	superstition
반 친구	classmate
힘 내세요	Cheer up!
