요구	a demand
응모하다	to apply for
수도	a capital
한가문데	in the middle, midst
기적	a miracle
요지	an important place
중심지	a center
물러나다	to retreat, retire from, move back
불성실하다	dishonest, insincere, unfaithful
자신감으로	self confidence
자유	freedom
때때로	sometimes
시대	era, period, age of
집집마다	from door to door, every door
음성	gloomy disposition; negative; voice, speech
주고받다	give and take, exchange (greetings, presents)
벼락치기	hasty preparation, rush job
벼락공부하다	to cram for exam
전신	whole body
어느 곳에서나	everywhere
썰매	sled
마음껏	unlimited, as much as one likes
숙녀	lady
옷차림	clothing, attire
박사학위	doctoral degree
크리스마스 전날	Christmas Eve
야경	night view
체력	health
눈 녹다	snow melts
사라지다	to disappear, fade
밉다	hateful, odious
미워하다	to hate, detest
미운 사람	detestable person
밉지 않은	innocent, naïve
실패하다	to fail
다람쥐	squirrel
다람쥐 쳇바퀴 돌다	vicious circle, round and round, repetitive (lit. squirrel on treadmill)
바늘	needle
바늘 가는 데 실 가다	inseparable (like thread and needle)
가뭄에 콩 나다	in a blue moon (lit. beans sprouting in a drought)
벌떡	suddenly, with a jerk
우주인	astronaut, alien
등장하다	to appear
훈련	training
격렬하다	violent, intense
거두다	to collect, reap, harvest
낮잠	nap
무지개	rainbow
웃어른	elders
폐	lungs; cause trouble
