졸업 증명서	Graduate Certificate
사망 증명서	Death certificate
신분 증명서	identification cert
부럽다	envy
손전등	flashlight
작성하다	to write out, fill in, draw up
바람둥이	playboy, womaniser, Casanova
도둑놈	a thief
나쁜놈	bad guy
가슴이 설레다	heart flutter
가슴이 (심장이) 떨리다	heart flutter; nervous, heart tremble
네 가슴이 시키는 데로해	follow your heart
니가 원하는데로 해	do as you like
만약에 네가 나라면	If you were me
탈출하다	to escape from
혼자 있고 싶어요	Leave me alone
보람 있는 일	Rewarding or challenging thing
보람 없는 일	thankless or useless task
내밀다	to hold or stick out, pout, protrude; shift (blame)
혀를 내밀다	stick out your tongue
내민 이마	Protruding forehead
끓다	to boil
끊다	to sever, cut off, hang up (phone), abstain from
끝나다	smth is finished, ended
끝내다	smone finishes, ends smth
대표적인	representative, typical
유치원	kindergarten
학 부모들	students' parents
풍습	custom, manners
마음 속에	In one's mind or heart
돌보다	to care for, look after
곤란하다	hard, difficult, awkward
가진다	to have, to own
뜻밖에	unexpectedly, surprise
기술	skill, technique, technology
요구하다	to require, claim (damage), demand
조그마하다	tiny
조그만 목소리	in a small voice
성적	grades, performance (sch, Co.)
고민거리	source of worry
꼽다	to count, number
절반	half
해야할지 말아야할지	whether to do so or not
싸다	cheap; to wrap or pack; swift; talkative
이삿짐	things to be moved
이삿짐 운반업자	movers or moving contractor
이삿짐센터	a moving company
관하다	to be about, related to
생사에 관한 문제	a matter of life and death
더욱	more, still more (or still less)
