양해를 구하다	to ask for permission
솔직하다	honest, open, frank
행동	action/habits, behavior, conduct
옳다	to be right, reasonable
횟수	number of times
오해를 사다	to create a misunderstanding
부딪치다	to bump against, to hit, to collide
계속	continuously
표현하다	to express
화해하다	to reconcile
이해하다	to understand
알아듣다	to listen and understand
알아보다	to recognise alt: to inquire about, to look into
설득하다	To persuade
진심	sincerity, the bottom of ones heart
무조건	unconditionally
어색하다	to be awkward
효과적이다	to be effective
불만	dissatisfaction
문화권	a cultural area
차이	difference
팔짱을 끼다	to lock arms with, be arm in arm with a person
구름 끼다	Clouds gather
뛰어나다	outstanding
결국	finally, in the end
다루	to handle, manage
기대하다	Expect
초대	invitation
최근	lately
인생	one's life
꽤	fairly, quite
꽤많다	quite a lot
돋보인다	Remarkable
도두보다	looks better than actual
실제	real, truth
실제로	actually
전체	G movie rating
의외로	surprisingly
내놓다	put out, bring out
데려다	to take note
맞춰	Fit
내내	all the way, throughout
잊혀	forgotten
도록	so that, so as, until, up to
막다	block, close, shut
부어	Pour
담고	contains
잠길	submerge, immerse
기도	Prayer
속상하다	upset, depressed
따라하도록	According to
