추억하다	to reminisce
유난히	especially
관련	relation
말이 나온 김에	speaking of which
회상	recollection, reminiscence
상상	Imagination, supposition
반성	self examination
잔소리	to nag
그립다	to miss someone
단짝 친구	best friend
통통하다	to be chubby
땡땡이치다	to skip class
떠오르다	to flash across one's mind
들키다	to be caught, discovered
평범하다	to be ordinary
변하다	to change
양쪽	both side
단층	one storey building
발전되다	to be developed
시간이 흐르다	time passes
발전하다	to develop, expand
향상되다	to be improved, make progress
늘다	to improve
변하다	to change, alter
세월	time
자부심	pride
초고속	super-high speed
아쉽다	to feel the lack of
예전	the past
어느새	in no time
귀국하다	to return to one's country
사정	situation
바라다	to want, wish, desire
경우	an occasion
상태	normal state
실망하다	to be disappointed
만족하다	to be satisfied
대통령	President
태어나다	to be born
천재	a genius
이루다	to accomplish
결과적으로	consequently
드디어	finally
가사	household, lyrics
판매되다	to be on sale
완벽하다	to be perfect
기능	function
단순히	simply
관계자	the person concerned
소비자	a consumer
