모범생	model student
우등생	honor student
명문고	prestigious school
낙오되다	fall behind
문제아	problem child
몰려다니다	walk around in groups, hang out
담임선생님	homeroom teacher
딱 걸리다	get jammed, get caught
땡땡이를 치다	skip school, skip class
전학	transfer to another school
소홀히 하다	neglect
마찬가지	the same
폭력	violence, brute force
집안 형편	household affairs
억눌리다	be suppressed, be oppressed
욕구	desire, craving, drive for
놓아 두다	leave behind
무책임하다	irresponsible
제대로	well, properly
합치다	combine, unite
조기교육	early education
표현력	expressiveness
풍부하다	abundant, plentiful, ample
굳이	obstinately, persistance, insistence
교외	extracurricular
자연캠프	nature camp
곤충	insect, bug
뛰어놀다	frolic, romp around
예체능 교육	arts and physical education
사회성	sociality
체벌	corporal punishment, physical punishment
체벌금지법	prohibition of physical punishment
인권 보호	protection of human rights
기본적	basic, normal, elementary
동의하다	agree, consent
말썽을 부리다	get into trouble
반항심	rebellious spirit
터놓다	open one's heart, open up
논쟁	dispute, argument, controversy
알파	alpha
맘	mom
대	versus
베타	beta
학자	scholar
현모양처	good wife and wise mother
서예가	calligrapher
이상적이다	ideal, perfect
어머니상	mother image
등장하다	appear
으로 여기다	regard, consider
일컫다	refer to, call, name
파악하다	grasp, understand, comprehend
다재다능하다	be good at everything
완벽하다	perfect, flawless, immaculate
매니저	manager
주도성	initiative
자립성	self-support
중요시하다	attach importance to
앞으로 나서다	come forward
결코	never
강요하다	force (compel)
갈피를 못 잡다	unable to get the point, be confused
틀을 짜 놓다	frame a plan
틀	cast, mold
과연	indeed, sure enough
느슨하다	loose, slack
입시 지옥	exam hell
똑 부러지다	break with a snap, crack
소통	communication
자칫하다	be short of
팔방미인	well-rounded person, jack-of-all-trades
역효과	adverse effect, opposite effect
방치하다	leave sb alone, leave sth as it is, neglect
적절하다	proper, appropriate
깨우치다	enlighten, realize, awaken
몫	share, portion
모색하다	seek, find
여류	lady, woman
붓글씨	calligraphy
에 능하다	good at, proficient at
엄하다	strict, stern, rigid
떡을 썰다	cut rice cake
인재 양성	cultivate people of talent
인격체	human being
조화롭다	harmonious
효율적	efficient, effective
입시 위주	focus on entrance examination
지식을 쌓다	accumulate knowledge
에 이바지하다	contribute to
효율성	effectiveness
높이다	make something higher
명문대	distinguished university, famous college
객관적	objective (point of view)
평가 기준	valuation basis, evaluation criteria
이끌어 주다	guide, give guidance
지름길	shortcut
열등감	sense of inferiority, complex
패배하다	be defeated, be beaten
이기적	selfish, egoistic
옳다	right, proper, correct
그르다	wrong, incorrect, false
인성	character, personality
윤리	ethics, morals
자아 존중감	self-esteem
공동체 의식	community spirit
백년대계	farsighted policy, long-range plan
장기적	long-term, long-run
안목	discernment, discerning eye
올바로	honestly, rightly
발생하다	occure, happen, arise
심화시키다	deepen, intensify
이외에도	in addition to, besides
학력 위조	academic forgery
훌륭하다	excellent, magnificent
득	benefit, advantage, gain
실	loss
따지다	argue about, quibble over
군계일학	stand at a height above the crowd
대기만성	big success does not occur early
맹모삼천	hardships of a mothers love to find proper education for her son
주경야독	farming by day and studying by night
칠전팔기	fall seven times but stand up eight times, struggle with adversity
