하객	guest
북적거리다	crowded, bustling, packed
잔칫집	a banqueting house
분위기	mood, atmosphere
근데	by the way, but
혼례복	wedding gown
가마	sedan chair, palanquin
입장하다	admission, enter into
곱다	lovely, kind(-hearted)
찍다	film,shoot / stamp, imprint
연지 곤지	red dots on the cheek and forehead during wedding
귀신을 쫓다	exorcise ghosts
술잔을 나누다	distribute glasses
부부의 인연을 맺다	form a connection, get married
백년해로	grow old together
혼인	marriage, matrimony
통과 의례	rite of passage
의식	consciousness, one's sense
절차	procedure, process
생활 방식	lifestyle
사고방식	way of thinking
성년식	coming of age celebration
축의금	money gift for happy occasions
상을 당하다	be bereaved
상을 차리다	set the table
절을 하다	make a deep bow
문상을 가다	make a call of condolence
