다문화	multicultural
현황	current condition, current situation
본격적	real, genuine / full-scale, full-fledged
에 접어들다	enter, get into
통계조사	statistical survey
거주하다	make one's residence
에 달하다	reach, come to
수치	numerical value, figure
이주 노동	migrant labour
지속적	continuous
결혼 이민자	married immigrant
에 이르다	arrive at something
가구	household
다문화 가족	multicultural family
에 적응하다	adapt, accommodate, adjust
여전히	still, as ever
자리를 잡다	secure a place, settle down
피부색	skin color
편견	prejudice, bias
시달리다	suffer from, be pestered, be harassed
소외되다	be marginalized, be excluded, be isolated
불이익	disadvantage
법률	law, legislation
사각지대	blind spot, dead zone
사각지대에 놓이다	be placed in the blind spot
정착하다	settle (down), take root
대처	handle, cope with, deal with
실시하다	implement, carry out, enforce
양적 지원	quantitative support
더불어	together, along with
의식	consciousness, one's sense
개혁	reform
급변하다	change rapidly, undergo a sudden change
순수하다	be pure, genuine
혈통	descent, bloodline
벗어나다	get out, escape
관용	tolerance, generosity
시선을 보내다	glance at sb/sth
구성원	member
누리다	enjoy (1)
자격	qualification
받아들이다	accept, absorb, adopt
식구	family member
혼혈아	a child of mixed blood
대가 끊기다	family line gets broken
한솥밥을 먹다	work closely together
가족 이기주의	family egoism
부정적 인식	negative perception
편견을 가지다	have a prejudice
관용을 베풀다	show generosity, be tolerant
