관심이 생기다	to become interested
골치가 아프다	to have a headache; to be annoyed
부정확하다	to be inaccurate/imprecise
불가능하다	to be impossible
불공평하다	to be unfair
불규칙하다	to be irregular
불확실하다	to be uncertain
신비롭게 느껴지다	to come to feel that something is marvelous
실제로 존재하다	to actually exist
원리가 궁금하다	to wonder about a principle
이론적으로 가능하다	to be possible theoretically
이유가 밝혀지다	to have a reason become known
현실적으로 불가능하다	to be impossible in reality
흥미가 없다	to be of no interest/uninteresting
꾸준히	persistently, steadily
벌	bee
인류	humanity
쌍둥이	twins
산모	pregnant woman (not 임산부)
생모	biological mother
괴물	monster
외계인	alien
지구인	people living on the earth
유지	maintenance; keeping
체중	body weight
이어지다	to get connected
존재하다	to exist
목격하다	to witness
투명 인간	invisible person
망토	cape
개발하다	to develop
뚫다	to make a hole
굴절시키다	to refract
운석	a meteoric stone
투표	ballot, vote
선출되다	to be elected
영양소	unutrient
운영자	operator
유전	heredity
물려받다	to inherit
전달되다	to pass on/convey
현상	phenomenon
곱슬머리	curly hair
직모	straight hair
우성	dominant (gene)
혀	tongue
말다	to roll
형태	form; shape
신체적	physical
타고나다	to be born with
보조개	dimple
쌍꺼풀	double eyelid
굿불	earlobe
주근깨	freckle
상식	common knowledge, common sense
무심코	carelessly; thoughtlessly
지나치다	to pass by
의심하다	to doubt
욕조	bathtub
세면대	washstand
빠져나가다	to get out/sleep through
빙빙 돌다	to turn in circles
적도	equator
기준	basis of comparison
구불구불하다	to be winding/ curly
단백질	protein
결합되다	to combine/connect
일정하다	to be fixed, steady
유지하다	to maintain
적용되다	to be applied
마찰력	friction force
신기하다	to be marvelous
탄생하다	to be born
공상	daydream, fantasy, (literary ) reverie
공상 과학 영화	science fiction film
공상 과학 소설	science fiction novel
마우스	computer mouse
감탄하다	to exclaim
터치하다	to touch
실감나다	to feel real
그림자	shadow
항아리	large Korean jar
흘러나오다	to flow out
시각	time, hour
종이 울리다	to (a bell) ring, chime
귀신	ghost
두려움	fear
순간	moment
실현하다	to materialize, realize, fulfill
목적지	destination
집착	obsession
사냥하다	to hunt
염색체	chromosome
성별	gender
품질	quality
소비자	consumer
