,0,1
13,썰다,To chop
14,반족하다,To knead
15,넣다,To place
16,섞다,To mix
17,담다,To put in
0,지금,Now
1,어디,Where
2,가다,To go
3,혼자,Alone
4,같이,Together
5,동대문,Dongdaemun
6,시장,Market
7,동대문 시장,Dongdaemun market
8,사다,To buy
9,만나다,To meet
10,산,Mountain
11,점심,Lunch
12,식당,Restaurant
13,우체국,Post office
14,시간,Time
15,우유,Milk
16,오다,To come
17,집,House
18,쓰다,To write
19,듣다,To listen
20,화장실,Bathroom
21,학교,School
22,극장,Theatre
23,영화,Movie
24,게임하다,To play games
25,직진,Straight
26,PC방,PC Room
27,왼쪽,Left
28,오른쪽,Right
29,밖,Outside
30,안,Inside
31,아래,Beneath
32,뒤,Behind
33,옆,Next to
34,앞,Front
35,위,Top
36,쪽,Direction
37,복,North
38,동,East
39,서,West
40,남,South
0,여행사,Travel agency
1,아르바이트,Part time job
2,일하다,To work
3,월요일,Monday
4,수요일,Wednesday
5,학교,School
6,학생,Student
7,주말,Weekend
8,친구,Friend
9,함께,Together
10,영화,Movie
11,만나다,To meet
12,등산을 가다,To go mountain climbing
13,매일,Everyday
14,자다,To sleep
15,일어나다,To get up
16,친절하다,To be kind
17,비싸다,To be expensive
18,바쁘다,To be busy
19,영화관,Movie theatre
20,공원,Park
21,쇼핑,Shopping
22,요리,Cooking
23,크리스마스,Christmas
24,청소,Cleaning
25,화요일,Tuesday
26,목요일,Thursday
27,금요일,Friday
28,토요일,Saturday
29,일요일,Sunday
30,아침,Breakfast
31,정오,Noon
32,저녁,Dinner
33,밤,Night
34,오전,Morning
35,오후,Afternoon
36,오늘,Today
37,어제,Yesterday
38,내일,Tomorrow
39,모레,Day after tomorrow
40,그저께,Day before yesterday
0,연극,Play
1,한참 동안,For a long time
2,이미,Already 2
3,멀리,Far
4,막하다,To be stuck in a traffic jam
5,빠르다,To be fast
6,공연,Performance
7,지키다,To keep a promise
8,지작하다,To be late
9,모르다,To not know
10,다르다,To be different
11,성격,Personality
12,박물관,Museum
13,휴지,Toilet paper
14,버리다,To throw
15,기대다,To lean
0,나,I (plain)
1,저,I (humble)
2,도,"Too, also"
3,이다,To be
4,씨,"Mr, Mrs"
5,일본 사람,Japanese
6,일본,Japan
7,영국,England
8,영국 사람,English
9,아니요,No
10,아니다,To not be
11,미국,America
12,미국 사람,American
13,네,Yes
14,아,"Ah, oh"
15,그렇습니까?,Is that so?
16,어느,Which
17,자기,Oneself
18,소개하다,To introduce
19,의사,Doctor
20,학생,Student
21,선생님,Teacher
22,이름,Name
23,국적,Nationality
24,직업,"Job, occupation"
25,주부,Housewife
26,회사원,Company employee
27,나라,Country
28,언어,Language
29,사람,Person
30,한국,Korea
31,한국 사람,Korean
32,중국,China
33,중국 사람,Chinese
34,러시아,Russia
35,러시아 사람,Russian
36,한국어,Korean language
37,중국어,Chinese language
38,일본어,Japanese language
39,영어,English language
40,러시아어,Russian language
0,여행,Travel
1,예쁘다,To be pretty
2,날씬하다,To be skinny
3,유학,Study abroad
4,어떤,What kind of
5,키,Height
6,돌아가다,To go back
7,착하다,To be kind
8,뚱뚱하다,To be fat
9,미술,Art
10,돈,Money
11,건강,Health
0,여기,Here
1,행복,Happy
2,여행사,Travel agency
3,안내원,Guide
4,그렇다,To be like that
5,사무실,Office
6,몇,How many
7,층,Floor
8,실례지만,Excuse me
9,화장실,Bathroom
10,복도,Corridor
11,끝,The end
12,(으)로,Through
13,건물,Building
14,지하,Basement
15,개구리,Frog
16,사자,Lion
17,닭,Chicken
18,사슴,Deer
19,수,Number
20,읽기,Reading
21,전화번호,Telephone number
22,날짜,Date
23,삼월,March
24,유월,June
25,혜화역,Hyehwa Station
26,출구,Exit
27,일찍,Early
28,올라가다,To rise up
29,생년월일,Birthdate
30,언제,When
31,피아노,Piano
32,화장지,Toilet roll
33,우산,Umbrella
34,동전,Copper coins
35,일,1
36,이,2
37,삼,3
38,사,4
39,오,5
40,육,6
41,칠,7
42,팔,8
43,구,9
44,십,10
45,십일,11
46,십이,12
47,십삼,13
48,십사,14
49,십오,15
50,이십,20
51,삼십,30
52,사십,40
53,오십,50
54,육십,60
55,칠십,70
56,팔십,80
57,구십,90
58,백,100
59,천,1000
60,만,10 000
61,십만,100 000
62,백만,1 000 000
63,천만,10 000 000
64,억,100 000 000
0,날씨,Weather
1,어떻습니까?,How is it?
2,춥다,To be cold
3,계절,Season
4,와/과,And
5,여름,Summer
6,안,Not
7,좋아하다,To like
8,배구,Volleyball
9,테니스,Tennis
10,수영,Swimmin
11,음식,Food
12,노래,Song
13,어렵다,To be difficult
14,야구,Baseball
15,햄버거,Hamburger
16,농구,Basketball
17,축구,Football
18,탁구,Ping Pong
19,피자,Pizza
20,김밥,Kimbap
21,떡볶이,Ddeokbokki
22,따뜻하다,To be warm
23,덥다,To be hot
24,시원하다,To be cool
25,국,Soup
26,아침,Breakfast or morning
27,김치,Kimchi
28,빵,Bread
29,밥,Rice
30,아프다,To hurt
31,맵다,To be spicy
32,비,Rain
33,겨울,Winter
34,왜,Why
35,그래서,So
36,눈,Snow
37,많이,A lot
38,비빔밥,Bibimbap
39,조금,A little
40,볼링,Bowling
0,책을 보세요,Please look at the book
1,100쪽을 보세요,Please look at page 100
2,들으세요,Please listen
3,따라하세요,Please repeat after me
4,같이 하세요,Please do it together
5,다시하세요,Please repeat yourself
