경복궁	Gyeongbokgung Palace
옛날	A long time ago
왕	King
찍다	To take a picture
근처	Vicinity
광화문	Gwanghawmun
얼마나	How long
걸리다	To take time
정도	Around
성균관대	Sungkyunkwan
놀이 공원	Amusement park
정말	Really
술	Alcohol
쯤	About
비행기	Plane
배	Ship
어젯밤	Last night
지난	Last
세수하다	To wash
데이트하다	To date
지난주	Last week
남자	Man
여자	Woman
병원	Hospital
