계시다	to be (t)here (honorific)
말씀하시다	to speak (honorific)
편찮으시다	to be sick (honorific)
드시다	to eat/ to drink (honorific)
잡수시다	to eat (honorific)
주무시다	to sleep (honorific)
돌아가시다	to die (honorific)
댁	house (honorific)
성함	name (honorific)
생신	birthday (honorific)
분	person (honorific)
부인	wife (honorific)
말씀	speech (honorific)
연세	age (honorific)
x 분	counter for people (honorific)
어느 분	who (honorific)
진지	rice (honorific)
